station,month,year,value
Civil Lines,Oct,2014,31
Civil Lines,Nov,2014,30
Civil Lines,Dec,2014,31
Civil Lines,Jan,2015,31
Civil Lines,Feb,2015,28
Civil Lines,Mar,2015,31
Civil Lines,Apr,2015,30
Civil Lines,May,2015,1
Civil Lines,Jun,2015,30
Civil Lines,Jul,2015,10
Civil Lines,Aug,2015,0
Civil Lines,Sep,2015,0
Civil Lines,Oct,2015,0
Civil Lines,Nov,2015,0
Civil Lines,Dec,2015,0
Civil Lines,Jan,2016,0
Civil Lines,Feb,2016,0
Civil Lines,Mar,2016,0
Civil Lines,Apr,2016,0
Civil Lines,May,2016,0
Civil Lines,Jun,2016,0
Civil Lines,Jul,2016,0
Civil Lines,Aug,2016,0
Civil Lines,Sep,2016,0
Civil Lines,Oct,2016,0
Civil Lines,Nov,2016,0
Civil Lines,Dec,2016,1
Civil Lines,Jan,2017,0
Civil Lines,Feb,2017,0
Civil Lines,Mar,2017,0
Civil Lines,Apr,2017,0
Civil Lines,May,2017,0
Civil Lines,Jun,2017,0
